date,births,deaths
1841-01-01,254,37
1841-02-01,239,18
1841-03-01,277,12
1841-04-01,255,4
1841-05-01,255,2
1841-06-01,200,10
1841-07-01,190,16
1841-08-01,222,3
1841-09-01,213,4
1841-10-01,236,26
1841-11-01,235,53
1842-01-01,307,64
1842-02-01,311,38
1842-03-01,264,27
1842-04-01,242,26
1842-05-01,310,10
1842-06-01,273,18
1842-07-01,231,48
1842-08-01,216,55
1842-09-01,223,41
1842-10-01,242,71
1842-11-01,209,48
1842-12-01,239,75
1843-01-01,272,52
1843-02-01,263,42
1843-03-01,266,33
1843-04-01,285,34
1843-05-01,246,15
1843-06-01,196,8
1843-07-01,191,1
1843-08-01,193,3
1843-09-01,221,5
1843-10-01,250,44
1843-11-01,252,18
1843-12-01,236,19
1844-01-01,244,37
1844-02-01,257,29
1844-03-01,276,47
1844-04-01,208,36
1844-05-01,240,14
1844-06-01,224,6
1844-07-01,206,9
1844-08-01,269,17
1844-09-01,245,3
1844-10-01,248,8
1844-11-01,245,27
1844-12-01,256,27
1845-01-01,303,23
1845-02-01,274,13
1845-03-01,292,13
1845-04-01,260,11
1845-05-01,296,13
1845-06-01,280,20
1845-07-01,245,15
1845-08-01,251,9
1845-09-01,237,25
1845-10-01,283,42
1845-11-01,265,29
1845-12-01,267,28
1846-01-01,336,45
1846-02-01,293,53
1846-03-01,311,48
1846-04-01,253,48
1846-05-01,305,41
1846-06-01,266,27
1846-07-01,252,33
1846-08-01,216,39
1846-09-01,271,39
1846-10-01,254,38
1846-11-01,297,32
1846-12-01,298,16
1847-01-01,311,10
1847-02-01,312,6
1847-03-01,305,11
1847-04-01,312,57
1847-05-01,294,36
1847-06-01,268,6
1847-07-01,250,3
1847-08-01,264,5
1847-09-01,262,12
1847-10-01,278,11
1847-11-01,246,11
1847-12-01,273,8
1848-01-01,283,10
1848-02-01,291,2
1848-03-01,276,0
1848-04-01,305,2
1848-05-01,313,3
1848-06-01,264,3
1848-07-01,269,1
1848-08-01,261,0
1848-09-01,312,3
1848-10-01,299,7
1848-11-01,310,9
1848-12-01,373,5
1849-01-01,403,9
1849-02-01,389,12
1849-03-01,406,20
